aX,aY,aZ,gX,gY,gZ
-0.229,0.023,0.954,2.136,-3.418,3.174
-0.229,0.023,0.953,2.136,-3.357,3.174
-0.228,0.023,0.955,2.075,-3.296,3.052
-0.229,0.023,0.954,2.136,-3.479,2.991
-0.229,0.023,0.952,2.197,-3.540,3.113
-0.229,0.023,0.954,2.136,-3.357,3.296
-0.229,0.022,0.954,2.319,-3.479,3.235
-0.228,0.022,0.954,2.258,-3.418,2.991
-0.229,0.022,0.955,2.197,-3.357,3.113
-0.229,0.023,0.955,2.075,-3.479,3.174
-0.229,0.023,0.955,2.014,-3.357,3.113
-0.229,0.023,0.956,2.075,-3.296,3.113
-0.229,0.022,0.954,1.953,-3.418,3.052
-0.229,0.023,0.955,2.197,-3.418,3.174
-0.230,0.023,0.954,2.136,-3.540,3.296
-0.230,0.023,0.954,2.075,-3.357,3.174
-0.230,0.022,0.954,2.075,-3.296,3.296
-0.229,0.022,0.955,2.197,-3.174,3.235
-0.228,0.023,0.954,2.136,-3.235,3.174
-0.229,0.023,0.953,2.136,-3.357,3.235
-0.229,0.022,0.954,2.136,-3.479,3.235
-0.230,0.023,0.954,2.136,-3.296,3.174
-0.229,0.022,0.955,2.136,-3.418,3.174
-0.228,0.022,0.955,2.075,-3.540,3.174
-0.228,0.023,0.953,2.075,-3.235,3.174
-0.229,0.022,0.952,1.953,-3.296,3.052
-0.229,0.023,0.954,2.197,-3.418,3.052
-0.230,0.022,0.955,2.136,-3.479,3.235
-0.228,0.022,0.954,1.953,-3.418,3.113
-0.229,0.023,0.952,2.014,-3.601,3.174
-0.230,0.022,0.955,2.319,-3.357,3.113
-0.231,0.021,0.956,2.197,-3.296,3.113
-0.227,0.020,0.954,2.075,-3.296,3.174
-0.227,0.023,0.949,2.075,-3.235,3.174
-0.228,0.024,0.950,2.136,-3.479,3.235
-0.230,0.022,0.955,2.380,-3.357,3.174
-0.229,0.022,0.955,2.136,-3.357,3.174
-0.228,0.023,0.954,2.136,-3.357,3.052
-0.229,0.024,0.952,2.136,-3.235,3.052
-0.229,0.022,0.953,2.075,-3.540,3.052
-0.231,0.023,0.954,2.197,-3.174,3.174
-0.230,0.021,0.957,2.258,-3.357,3.113
-0.229,0.022,0.954,2.197,-3.418,3.235
-0.228,0.024,0.951,2.014,-3.357,3.174
-0.230,0.024,0.951,2.136,-3.296,3.174
-0.229,0.021,0.956,2.136,-3.357,3.113
-0.229,0.021,0.956,2.197,-3.418,3.174
-0.229,0.024,0.953,2.014,-3.296,2.991
-0.228,0.023,0.952,2.075,-3.174,3.052
